ID,Fx,Fy,Fz,Mx,My,Mz,q,qd,qdd
MAX_Mz_Joint0,1384.643266266667,-726.4125540599999,227.69796566666682,161.4972572146532,681.8906406614458,1008.2330556139652,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, 3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, 8.0, 8.0]"
MIN_Mz_Joint0,-1111.5566914202304,-444.4265561423934,256.4227563191231,164.26118278276948,-600.4824878699749,-440.71461804347666,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, 3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, 4.66, -5.2]","[5.0, -5.0, -6.0, 7.0, -8.0, -8.0]"
MAX_F_RESULTANT_Joint0,-1648.6703677240582,326.51121257723025,-429.8464790953183,-17.855148162961797,-41.64939553359244,386.18765953333605,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, 8.0, -8.0]"
MAX_M_RESULTANT_Joint0,1384.643266266667,-726.4125540599999,255.56729900000013,158.98635811971985,712.5738027981569,1008.2284234219653,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, 3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MAX_Fx_Joint1,-361.4994413723349,657.4339057077049,-499.7219425970916,-10.04989479150037,464.31605679833154,648.8130872377586,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, 3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MIN_Fx_Joint1,-1432.7816862666668,66.44296739333319,-31.00744900000013,26.568702325865445,-151.41513103664113,-196.88536882729946,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_Fy_Joint1,-1166.327533837896,1050.402188574372,474.37755631912296,-204.4524842374531,-634.4537785447536,920.21064076883,"[-1.5707963267948966, -1.0471975511965976, 3.141592653589793, 3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, -8.0, -8.0]"
MIN_Fy_Joint1,-792.2542422666666,-251.08487034000024,-349.8204350000001,110.36442131006785,236.2703716136539,-428.7015381001348,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, 3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, -3.1, 3.1, -4.66, 4.66, -5.2]","[5.0, -5.0, -6.0, -7.0, 8.0, -8.0]"
MAX_Fz_Joint1,-1073.626708614498,215.1684330410381,547.1584563191232,-111.78832706006551,-704.9083270484018,32.020168354116144,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, -5.2]","[5.0, -5.0, -6.0, -7.0, -8.0, 8.0]"
MIN_Fz_Joint1,-1191.6948003759123,364.7931495077048,-650.2257063191232,42.73728198777057,515.5027872364489,189.8210163846022,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, -5.2]","[-5.0, -5.0, 6.0, 7.0, 8.0, -8.0]"
