ID,Fx,Fy,Fz,Mx,My,Mz,q,qd,qdd
MIN_My_Joint1,-841.6455762988637,-86.29865386430588,919.2110590915186,-145.48337360178158,-949.4711751654014,-205.122437460119,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 3.141592653589793, 0.0, 3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, 4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, 8.0, -8.0]"
MAX_Mz_Joint1,-623.5816163565776,799.9104549200217,863.2635704161951,-284.7366293264642,-856.4329446814666,726.6564859865979,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, -3.141592653589793, 0.0, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MIN_Mz_Joint1,-778.4651280488634,-861.0753518690585,-857.7270784342688,77.9967860071699,621.4225875736934,-804.8249185555302,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_F_RESULTANT_Joint1,-1134.7129396726477,893.1582439322794,438.41604200520885,-182.813638350593,-550.3308371682533,668.3292268499165,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[5.0, 5.0, 6.0, -7.0, 8.0, -8.0]"
MAX_M_RESULTANT_Joint1,-778.4651280488636,-861.0753518690584,881.5903083060972,230.9894825717191,-896.4169641248576,-804.6964299575093,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, 7.0, -8.0, 8.0]"
MAX_Fx_Joint2,776.3283181058349,-146.10572298075908,-987.9554610638324,-116.34300391488055,246.19783614918163,-128.2913997675967,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MIN_Fx_Joint2,-850.3341204778734,-675.4636119005673,-679.7899638753086,189.00889431817126,-358.211827349335,39.55790534844523,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_Fy_Joint2,152.597244124596,742.5520764370501,-587.8182222782259,-455.6216085096708,36.50594426491241,-157.04868609720407,"[-1.5707963267948966, 0.26179938779914935, 3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, 8.0, -8.0]"
MIN_Fy_Joint2,371.9606832949639,-845.6193264370502,-648.2555408316857,287.80217083443335,89.13461174954226,81.74104446767168,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 3.141592653589793, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, -8.0, 8.0]"
MAX_Fz_Joint2,212.51602006000007,26.010658333333296,561.8400781333333,89.71071383914222,175.61954968925772,-41.16428321857088,"[-1.5707963267948966, 1.5707963267948966, 0.0, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, 3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
